"Date","Price","Open","High","Low","Vol.","Change %"
"12/13/2016","11,385.10","11,450.05","11,529.05","11,385.10","310.55M","-0.52%"
"12/12/2016","11,444.06","11,304.75","11,448.59","11,210.80","362.41M","1.29%"
"12/08/2016","11,297.93","11,342.50","11,342.50","11,228.07","306.55M","-0.44%"
"12/07/2016","11,348.37","11,521.91","11,535.86","11,348.37","461.08M","-1.34%"
"12/06/2016","11,502.51","11,415.39","11,518.02","11,402.38","303.73M","0.67%"
"12/05/2016","11,426.50","11,618.75","11,635.59","11,426.50","535.85M","-1.76%"
"12/04/2016","11,631.41","11,552.80","11,640.99","11,539.45","378.57M","0.72%"
"12/01/2016","11,548.15","11,471.86","11,580.14","11,471.86","657.77M","0.83%"
"11/30/2016","11,453.25","11,207.68","11,469.25","11,207.68","556.26M","2.63%"
"11/29/2016","11,159.32","11,255.58","11,256.70","11,103.06","318.42M","-0.91%"
"11/28/2016","11,261.82","11,156.05","11,309.39","11,147.09","320.93M","1.04%"
"11/27/2016","11,145.95","11,352.88","11,352.88","11,141.82","274.60M","-1.82%"
"11/24/2016","11,353.11","11,579.01","11,656.74","11,353.11","430.27M","-1.71%"
"11/23/2016","11,550.31","11,528.69","11,564.58","11,494.26","372.05M","0.26%"
"11/22/2016","11,519.80","11,607.04","11,687.99","11,519.79","589.87M","-0.20%"
"11/21/2016","11,543.07","11,363.87","11,543.07","11,363.87","681.92M","2.36%"
"11/20/2016","11,277.47","11,205.79","11,278.53","11,061.57","549.86M","0.50%"
"11/17/2016","11,221.56","11,176.61","11,336.31","11,176.61","770.05M","2.04%"
"11/16/2016","10,997.38","10,700.80","10,997.38","10,700.80","681.35M","3.35%"
"11/15/2016","10,640.53","10,679.31","10,698.03","10,624.98","640.38M","-0.50%"
"11/14/2016","10,694.41","10,899.39","10,902.69","10,694.41","569.66M","-2.04%"
"11/13/2016","10,916.97","10,940.70","11,029.55","10,915.26","647.48M","2.14%"
"11/10/2016","10,688.16","10,254.32","10,688.16","10,254.32","722.42M","4.52%"
